"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","15820267","4665473.073","2915745.193","1","2219555.5","6658867.5","10720945"
"T1","15820267","9.755","15.384","0","0","17","52"
"T2","15820267","43.658","18.998","1","30","53","68"
"Infected","15820267","0.044","0.206","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","15820267","0","0.004","0","0","0","1"
"DeadByOther","15820267","0","0.019","0","0","0","1"
"VariantInf","15820267","0.005","0.07","0","0","0","1"
"VariantHosp","15820267","0","0.017","0","0","0","1"
"VariantOxygen","15820244","0","0.014","0","0","0","1"
"VariantICU","15820267","0","0.007","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","15820267","","","","","",""
"... _noinf","12357639","78.1%","","","","",""
"... inf1","175930","1.1%","","","","",""
"... inf2","785803","5%","","","","",""
"... inf3","1832334","11.6%","","","","",""
"... inf4+","668561","4.2%","","","","",""
"InfPriorSeverity","15820267","","","","","",""
"... _no_or_unknown_severity","13872755","87.7%","","","","",""
"... hospitalized","207536","1.3%","","","","",""
"... symptoms","1739976","11%","","","","",""
"Age","15820267","46.032","21.729","0","30","64","120"
"Sex","15820267","","","","","",""
"... M","7794087","49.3%","","","","",""
"... Z","8026180","50.7%","","","","",""
"InfPriorTime","3462628","-317.917","92.728","-705","-395","-274","-8"
"LastVaccTime","12009520","-69.619","78.22","-317","-136","4","52"
