"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16654530","4759786.24","2937107.565","1","2282099.25","6851626","10819487"
"T1","16654530","10.2","15.702","0","0","18","52"
"T2","16654530","43.954","18.793","1","32","53","68"
"Infected","16654530","0.047","0.212","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16654530","0","0.004","0","0","0","1"
"DeadByOther","16654530","0","0.019","0","0","0","1"
"VariantInf","16654530","0.005","0.071","0","0","0","1"
"VariantHosp","16654530","0","0.016","0","0","0","1"
"VariantOxygen","16654507","0","0.013","0","0","0","1"
"VariantICU","16654530","0","0.007","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16654530","","","","","",""
"... _noinf","12858966","77.2%","","","","",""
"... inf1","512058","3.1%","","","","",""
"... inf2","769523","4.6%","","","","",""
"... inf3","1838728","11%","","","","",""
"... inf4+","675255","4.1%","","","","",""
"InfPriorSeverity","16654530","","","","","",""
"... _no_or_unknown_severity","14592933","87.6%","","","","",""
"... hospitalized","210446","1.3%","","","","",""
"... symptoms","1851151","11.1%","","","","",""
"Age","16654530","44.487","22.295","0","28","63","120"
"Sex","16654530","","","","","",""
"... M","8219562","49.4%","","","","",""
"... Z","8434968","50.6%","","","","",""
"InfPriorTime","3795564","-292.777","121.003","-705","-390","-265","-8"
"LastVaccTime","12257830","-69.923","77.558","-317","-134","3","52"
